contract_id,document_name,provider_names,signed_date,contract_type,name,abi,tax_code,vat_code,vat_group,pec_mail,courtesy_mail,referente_fattura_mail,sdd,sdi_code,membership_id,product_id,institution_type,business_register_number,registered_office,zip_code,county,country,city,infocamere_pec,infocamere_name,status
pagopa-psp-02,CI003_B_Banca Sella SpA,SELBIT2B;ABI03268,07/02/2020,B,Banca Sella S.p.A.,03268,02224410023,02675650028,TRUE,bs_segreteria@pec.sella.it,,,FALSE,,pagopa-psp-02,prod-pagopa,PSP,02224410023,PIAZZA GAUDENZIO SELLA 1,13900,BI,IT,BIELLA,BS_SEGRETERIA@PEC.SELLA.IT,BANCA SELLA - S.P.A.,OK
pagopa-psp-231,CI199_B_BFF BANK SPA,ABI05000,07/02/2020,B,BFF Bank S.p.A.,05000,07960110158,07960110158,FALSE,tesoreriaenti@pec.depobank.it,,,FALSE,SUBM70N,pagopa-psp-231,prod-pagopa,PSP,07960110158,VIA DOMENICHINO 5,20149,MI,IT,MILANO,INFO@PEC.BFFGROUP.COM,BFF BANK S.P.A.,ERROR
pagopa-psp-155,CI121_A_BANCA_DEI_SIBILLINI,ABI08456,07/02/2020,A,Banca dei Sibillini - Credito Cooperativo di Casavecchia - Società Cooperativa,08456,00118970433,15240741007,TRUE,banca.sibillini@legalmail.it,,,FALSE,9GHPHLV,pagopa-psp-155,prod-pagopa,PSP,00118970433,"VIA DANTE ALIGHIERI, 2",62036,MC,IT,PIEVE TORINA,BANCA.SIBILLINI@LEGALMAIL.IT,BANCA DEI SIBILLINI-CREDITO COOPERATIVO DI CASAVECCHIA-SOCIETA' COOPERATIVA,OK
pagopa-psp-298,CI272_A_Unicredit,UNCRITMM;ABI02008;UNCR-COR;02008,07/02/2020,A,UniCredit S.p.A.,02008,00348170101,00348170101,TRUE,direzione.enti@pec.unicredit.eu,,pasqualegiuseppe.barbalace@unicredit.eu,Andrea.Romeo@unicredit.eu,FALSE,,prod-pagopa,PSP,00348170101,PIAZZA GAE AULENTI 3,20154,MI,IT,MILANO,comunicazioni@pec.unicredit.eu,"UNICREDIT, SOCIETA' PER AZIONI IN FORMA ABBREVIATA UNICREDIT S.P.A.",ERROR
pagopa-psp-257,CI225_A_BCC Putignano,ABI07113,07/02/2020,A,Banca di Credito Cooperativo di Putignano - Società Cooperativa per Azioni,07113,06570340726,15240741007,TRUE,pec@pec.bccputignano.it,,,FALSE,9GHPHLV,pagopa-psp-257,prod-pagopa,PSP,06570340726,VIA MARGHERITA DI SAVOIA 13,70017,BA,IT,PUTIGNANO,PEC@PEC.BCCPUTIGNANO.IT,BANCA DI CREDITO COOPERATIVO DI PUTIGNANO SOCIETA' COOPERATIVA,OK
pagopa-psp-238,CI206_A_BCC G Toniolo di San Cataldo,ICRAITRRQG0;ABI08952,07/02/2020,A,Banca di Credito Cooperativo 'G. Toniolo' di San Cataldo (Caltanissetta) Società Cooperativa,08952,00055510853,15240741007,TRUE,08952.bcc@actaliscertymail.it,,,FALSE,,pagopa-psp-382,prod-pagopa,PSP,00055510853,CORSO VITTORIO EMANUELE 171,93017,CL,IT,SAN CATALDO,08952.BCC@ACTALISCERTYMAIL.IT,BANCA DI CREDITO COOPERATIVO G. TONIOLO E SAN MICHELE DI SAN CATA LDO (CALTANISSETTA) SOCIETA' COOPERATIVA,OK
pagopa-psp-124,CI090_A_CASSA_RISPARMIO_DI_BRA,,07/02/2020,A,Cassa di Risparmio di Bra S.p.A.,06095,00200060044,03830780361,TRUE,cbi.dircomm@pec.gruppobper.it,,,FALSE,,pagopa-psp-124,prod-pagopa,PSP,00200060044,VIA PRINCIPI DI PIEMONTE 12,12042,CN,IT,BRA,NON PRESENTE SU INFOCAMERE,CASSA DI RISPARMIO DI BRA,ERROR
pagopa-psp-148,CI114_A_BANCA_BPER,ABI05387;BPMOIT22,07/02/2020,A,BPER Banca S.p.A.,05387,01153230360,03830780361,TRUE,cbi.dircomm@pec.gruppobper.it,,,FALSE,SUBM70N,pagopa-psp-148,prod-pagopa,PSP,01153230360,VIA SAN CARLO 8/20,41121,MO,IT,MODENA,BPER@PEC.GRUPPOBPER.IT,BPER BANCA S.P.A.,ERROR
pagopa-psp-206,CI174_A_BCC Colli Albani,ABI08951,07/02/2020,A,Banca di Credito Cooperativo dei Colli Albani - Società Cooperativa,08951,01103500581,15240741007,TRUE,postacertificata@cert.bcccollialbani.it,,,FALSE,,pagopa-psp-206,prod-pagopa,PSP,01103500581,LARGO GIUSEPPE TONIOLO SNC,00045,RM,IT,GENZANO DI ROMA,POSTACERTIFICATA@CERT.BCCCOLLIALBANI.IT,BANCA DI CREDITO COOPERATIVO DEI COLLI ALBANI - SOCIETA' COOPERAT IVA,OK
pagopa-psp-253,CI221_A_Illimity Bank,ABI03395,07/02/2020,A,Illimity Bank S.p.A.,03395,03192350365,12020720962,TRUE,illimity@pec.illimity.com,,marco.montagnani@illimity.com,,FALSE,,prod-pagopa,PSP,03192350365,VIA SOPERGA 9,20127,MI,IT,MILANO,illimity@pec.illimity.com,"ILLIMITY BANK S.P.A. IN FORMA ABBREVIATA ""ILLIMITY S.P.A.""",OK
